Table S8. Phycoblisome.,,,,,,,,,,,,,,,,,,,,,,,
#Strain,Habitat,BlmFreq,BlmType,apcAB,apcC,apcD,apcE,apcF,cpcAB,cpcC,cpcD,cpcEF,cpcG,cpeAB,cpeC,cpeD,cpeE,cpeR,cpeS,cpeT,cpeU,cpeY,cpeZ
Anabaena_cylindrica_PCC_7122,F,64,F,1|2|2|A1B1,1|s,1|s,1|s,1|s,2|2|4|A2B2,2|s,2|s,1|2|3|E2F1,4|s,0|2|0|A0B0,0|s,0|s,0|s,0|s,1|s,2|s,0|s,0|s,0|s
Anabaena_sp._90,F,64,F,1|2|2|A1B1,1|s,1|s,1|s,1|s,1|2|2|A1B1,1|s,2|s,1|2|2|E1F1,4|s,0|2|0|A0B0,0|s,0|s,0|s,0|s,1|s,1|s,1|s,0|s,0|s
Anabaena_sp._PCC_7108,M,64,F,1|2|2|A1B1,1|s,1|s,1|s,1|s,2|2|4|A2B2,2|s,2|s,1|2|3|E2F1,3|s,0|2|0|A0B0,0|s,0|s,0|s,0|s,1|s,2|s,0|s,0|s,0|s
Anabaena_variabilis_ATCC_29413,F,64,F,1|2|2|A1B1,1|s,1|s,1|s,1|s,2|2|4|A2B2,2|s,2|s,1|2|3|E2F1,4|s,0|2|0|A0B0,0|s,0|s,0|s,0|s,1|s,2|s,0|s,0|s,0|s
Aphanizomenon_flos-aquae_2012/KM/D3,F,46,F,1|2|2|A1B1,1|s,0|s,1|s,1|s,1|2|2|A1B1,1|s,2|s,1|2|2|E1F1,4|s,0|2|0|A0B0,0|s,0|s,0|s,0|s,1|s,1|s,0|s,0|s,0|s
Aphanizomenon_flos-aquae_NIES-81,F,46,F,1|2|2|A1B1,1|s,1|s,1|s,1|s,1|2|2|A1B1,1|s,2|s,1|2|2|E1F1,4|s,0|2|0|A0B0,0|s,0|s,0|s,0|s,1|s,1|s,0|s,0|s,0|s
Arthrospira_platensis_C1,A,1,O,1|2|2|A1B1,1|s,1|s,1|s,1|s,1|2|2|A1B1,2|s,2|s,1|2|2|E1F1,1|s,0|2|0|A0B0,0|s,0|s,0|s,0|s,1|s,1|s,0|s,0|s,0|s
Calothrix_sp._PCC_6303,F,0,N,1|2|3|A2B1,1|s,1|s,1|s,1|s,2|2|4|A2B2,4|s,2|s,1|2|2|E1F1,3|s,1|2|2|A1B1,3|s,0|s,0|s,2|s,4|s,3|s,2|s,2|s,1|s
Calothrix_sp._PCC_7103,F,0,N,1|2|2|A1B1,1|s,1|s,1|s,1|s,3|2|6|A3B3,5|s,2|s,1|2|2|E1F1,3|s,1|2|2|A1B1,1|s,0|s,0|s,2|s,4|s,4|s,1|s,1|s,1|s
Calothrix_sp._PCC_7507,F,0,N,2|2|4|A2B2,1|s,4|s,2|s,1|s,2|2|4|A2B2,2|s,2|s,1|2|3|E2F1,4|s,0|2|0|A0B0,0|s,0|s,0|s,0|s,1|s,2|s,0|s,0|s,0|s
Chamaesiphon_minutus_PCC_6605,F,0,N,1|2|2|A1B1,1|s,1|s,1|s,1|s,3|2|6|A3B3,4|s,2|s,1|2|2|E1F1,3|s,1|2|2|A1B1,1|s,0|s,0|s,1|s,4|s,2|s,1|s,1|s,1|s
Crocosphaera_watsonii_WH_0003,M,0,N,1|2|2|A1B1,1|s,1|s,1|s,1|s,1|2|2|A1B1,3|s,1|s,1|2|2|E1F1,2|s,2|2|4|A2B2,2|s,0|s,0|s,1|s,3|s,2|s,1|s,1|s,1|s
Crocosphaera_watsonii_WH_0005,M,0,N,1|2|2|A1B1,1|s,1|s,1|s,1|s,1|2|2|A1B1,4|s,1|s,1|2|3|E2F1,1|s,2|2|4|A2B2,2|s,1|s,0|s,1|s,3|s,3|s,1|s,1|s,2|s
Crocosphaera_watsonii_WH_0401,M,0,N,1|2|2|A1B1,1|s,1|s,1|s,1|s,1|2|2|A1B1,2|s,1|s,1|2|2|E1F1,2|s,2|2|5|A2B3,2|s,0|s,0|s,1|s,3|s,1|s,1|s,2|s,2|s
Crocosphaera_watsonii_WH_0402,M,0,N,1|2|2|A1B1,1|s,1|s,1|s,1|s,1|2|2|A1B1,2|s,1|s,1|2|2|E1F1,1|s,2|2|4|A2B2,2|s,1|s,0|s,0|s,3|s,2|s,1|s,1|s,2|s
Crocosphaera_watsonii_WH_8501,M,0,N,1|2|2|A1B1,1|s,1|s,1|s,1|s,1|2|2|A1B1,3|s,1|s,1|2|3|E2F1,1|s,2|2|5|A2B3,2|s,0|s,0|s,1|s,3|s,2|s,1|s,1|s,2|s
