Table S18. Utilization of trace metals and vitamins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Strain,Habitat,BlmFreq,BlmType,ctaA,pacS,Atx,copABC,cueO,fhuBDC,fecBEDC1,futCBA,fecBED2,fecEDB3,futA1A2BC,feoAB,feoC,sufBCD,sfuA,sfuB,sfuC,mntABC,mgtACE,corA,corC,nikMNOQ,nikABCDE,btuFCD,bioYMN,pnuX,impX,slr0642,pnuC
Chamaesiphon_minutus_PCC_6605,F,0,N,1|s,12|s,0|s,4|3|17|A7B6C4,2|s,0|3|0|B0C0D0,1|4|4|B1C1D1E1,0|3|3|A0B0C3,1|3|5|B1D1E3,1|3|3|B1D1E1,0|4|0|A0B0C0D0,0|2|0|A0B0,0|s,1|3|4|B1C2D1,0|s,0|s,0|s,2|3|6|A2B2C2,0|3|8|A7C0E1,0|s,2|s,0|4|2|M0N0O2Q0,2|5|11|A2B2C2D2E3,0|3|1|C0D1F0,0|3|3|M3N0Y0,1|s,0|s,1|s,0|s
Crocosphaera_watsonii_WH_0003,M,0,N,1|s,2|s,0|s,1|3|5|A2B2C1,0|s,0|3|0|B0C0D0,0|4|0|B0C0D0E0,0|3|0|A0B0C0,0|3|1|B0D0E1,0|3|0|B0D0E0,0|4|2|A0B1C1D0,0|2|1|A1B0,0|s,1|3|4|B1C2D1,0|s,0|s,0|s,3|3|9|A3B3C3,0|3|3|A1C0E2,1|s,3|s,0|4|5|M1N0O4Q0,2|5|14|A3B3C3D3E2,0|3|1|C0D1F0,0|3|1|M1N0Y0,0|s,0|s,1|s,0|s
Crocosphaera_watsonii_WH_0005,M,0,N,1|s,2|s,0|s,0|3|2|A1B0C1,0|s,0|3|0|B0C0D0,0|4|0|B0C0D0E0,0|3|0|A0B0C0,0|3|1|B0D0E1,0|3|0|B0D0E0,0|4|1|A0B1C0D0,0|2|0|A0B0,0|s,1|3|3|B1C1D1,0|s,0|s,0|s,2|3|7|A2B2C3,0|3|1|A0C0E1,1|s,3|s,0|4|5|M1N0O4Q0,0|5|9|A0B3C2D3E1,0|3|1|C0D1F0,0|3|0|M0N0Y0,0|s,0|s,1|s,0|s
Crocosphaera_watsonii_WH_0401,M,0,N,1|s,2|s,0|s,0|3|1|A0B1C0,0|s,0|3|0|B0C0D0,0|4|0|B0C0D0E0,0|3|0|A0B0C0,0|3|1|B0D0E1,0|3|0|B0D0E0,0|4|1|A0B1C0D0,0|2|1|A1B0,0|s,1|3|4|B1C2D1,0|s,0|s,0|s,3|3|9|A3B3C3,0|3|3|A1C0E2,1|s,3|s,0|4|5|M1N0O4Q0,1|5|10|A2B3C3D1E1,0|3|1|C0D1F0,0|3|1|M1N0Y0,0|s,0|s,1|s,0|s
Crocosphaera_watsonii_WH_0402,M,0,N,1|s,1|s,0|s,1|3|3|A1B1C1,0|s,0|3|0|B0C0D0,0|4|0|B0C0D0E0,0|3|0|A0B0C0,0|3|1|B0D0E1,0|3|0|B0D0E0,0|4|1|A0B1C0D0,0|2|1|A1B0,0|s,1|3|4|B1C2D1,0|s,0|s,0|s,2|3|8|A2B3C3,0|3|3|A1C0E2,1|s,3|s,0|4|4|M1N0O3Q0,2|5|11|A2B3C2D2E2,0|3|1|C0D1F0,0|3|1|M1N0Y0,0|s,0|s,1|s,0|s
Crocosphaera_watsonii_WH_8501,M,0,N,1|s,2|s,0|s,0|3|2|A1B1C0,0|s,0|3|0|B0C0D0,0|4|0|B0C0D0E0,0|3|0|A0B0C0,0|3|1|B0D0E1,0|3|0|B0D0E0,0|4|2|A0B1C1D0,0|2|1|A1B0,0|s,1|3|4|B1C2D1,0|s,0|s,0|s,3|3|9|A3B3C3,0|3|3|A1C0E2,0|s,3|s,0|4|5|M1N0O4Q0,1|5|9|A2B2C3D1E1,0|3|0|C0D0F0,0|3|1|M1N0Y0,0|s,0|s,1|s,0|s
Crocosphaera_watsonii_WH_8502,M,0,N,1|s,1|s,0|s,0|3|2|A0B2C0,0|s,0|3|0|B0C0D0,0|4|0|B0C0D0E0,0|3|0|A0B0C0,0|3|1|B0D0E1,0|3|0|B0D0E0,0|4|0|A0B0C0D0,0|2|0|A0B0,0|s,1|3|4|B1C2D1,0|s,0|s,0|s,3|3|9|A3B3C3,0|3|2|A0C0E2,0|s,3|s,0|4|5|M1N0O4Q0,0|5|6|A2B2C2D0E0,0|3|1|C0D1F0,0|3|0|M0N0Y0,0|s,0|s,1|s,0|s
Cyanothece_sp._ATCC_51142,M,3,O,1|s,3|s,0|s,0|3|11|A6B5C0,0|s,0|3|0|B0C0D0,0|4|0|B0C0D0E0,0|3|1|A0B0C1,0|3|0|B0D0E0,0|3|0|B0D0E0,0|4|3|A1B1C1D0,0|2|1|A0B1,0|s,1|3|5|B1C3D1,0|s,0|s,0|s,4|3|12|A4B4C4,1|3|12|A9C1E2,1|s,4|s,0|4|5|M1N0O4Q0,3|5|15|A3B3C3D3E3,0|3|1|C0D1F0,0|3|1|M1N0Y0,0|s,0|s,1|s,0|s
Cyanothece_sp._ATCC_51472,M,3,O,1|s,3|s,0|s,0|3|11|A6B5C0,0|s,0|3|0|B0C0D0,0|4|0|B0C0D0E0,0|3|1|A0B0C1,0|3|0|B0D0E0,0|3|0|B0D0E0,0|4|3|A1B1C1D0,0|2|1|A0B1,0|s,1|3|5|B1C3D1,0|s,0|s,0|s,4|3|12|A4B4C4,1|3|12|A9C1E2,1|s,4|s,0|4|5|M1N0O4Q0,3|5|15|A3B3C3D3E3,0|3|1|C0D1F0,0|3|1|M1N0Y0,0|s,0|s,1|s,0|s
Cyanothece_sp._PCC_7425,F,3,O,2|s,5|s,0|s,1|3|18|A8B9C1,2|s,0|3|0|B0C0D0,2|4|10|B4C2D2E2,0|3|3|A0B0C3,0|3|1|B0D0E1,0|3|1|B0D0E1,0|4|9|A2B2C5D0,0|2|1|A0B1,0|s,2|3|14|B2C10D2,0|s,0|s,0|s,5|3|15|A5B5C5,1|3|13|A11C1E1,2|s,5|s,0|4|12|M2N0O9Q1,4|5|21|A4B4C4D4E5,0|3|1|C0D1F0,0|3|4|M4N0Y0,0|s,0|s,2|s,0|s
