Table S11. CCM.,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Strain,Habitat,BlmFreq,BlmType,icfA,ccmKLMNO,bicA,cmpABCD,ndhF3-D3-chpY,ndhF4D4-chpX,sbtA,rbcLS,,,,,,,,,,,,,,,,
Dactylococcopsis_salina_PCC_8305,F,0,N,0|s,1|5|8|K4L1M1N1O1,3|s,0|4|5|A1B3C0D1,1|3|3|D1F1Y1,1|3|6|D3F2X1,1|s,1|2|2|L1S1,,,,,,,,,,,,,,,,
Dolichospermum_circinale_AWQC310F,F,0,N,1|s,1|5|8|K4L1M1N1O1,0|s,1|4|8|A2B3C1D2,0|3|2|D0F1Y1,1|3|8|D5F2X1,1|s,1|2|2|L1S1,,,,,,,,,,,,,,,,
Geminocystis_herdmanii_PCC_6308,F,0,N,1|s,1|5|8|K4L1M1N1O1,2|s,2|4|8|A2B2C2D2,0|3|2|D0F1Y1,1|3|6|D3F2X1,1|s,1|2|2|L1S1,,,,,,,,,,,,,,,,
Halothece_sp._PCC_7418,F,0,N,0|s,1|5|7|K3L1M1N1O1,3|s,0|4|3|A0B2C0D1,0|3|2|D1F0Y1,1|3|7|D3F3X1,1|s,1|2|2|L1S1,,,,,,,,,,,,,,,,
Leptolyngbya_boryana_PCC_6306,F,1,O,3|s,1|5|7|K3L1M1N1O1,3|s,2|4|19|A4B8C2D5,0|3|2|D0F1Y1,1|3|8|D5F2X1,2|s,1|2|2|L1S1,,,,,,,,,,,,,,,,
Leptolyngbya_sp._2LT21S03,M,1,O,4|s,1|5|8|K4L1M1N1O1,0|s,1|4|19|A6B8C1D4,0|3|1|D0F0Y1,0|3|4|D4F0X0,1|s,1|2|1|L1S0,,,,,,,,,,,,,,,,
Leptolyngbya_sp._PCC_6406,F,1,O,1|s,1|5|8|K4L1M1N1O1,4|s,1|4|9|A2B4C1D2,0|3|2|D0F1Y1,1|3|6|D3F2X1,2|s,1|2|2|L1S1,,,,,,,,,,,,,,,,
Lyngbya_majuscula_3L,M,19,F,1|s,1|5|8|K4L1M1N1O1,2|s,0|4|3|A1B1C0D1,0|3|0|D0F0Y0,1|3|5|D2F2X1,0|s,1|2|3|L2S1,,,,,,,,,,,,,,,,
Lyngbya_sp._PCC_8106,M,19,F,2|s,1|5|7|K3L1M1N1O1,2|s,0|4|1|A0B0C0D1,0|3|2|D0F1Y1,1|3|6|D3F2X1,2|s,1|2|3|L2S1,,,,,,,,,,,,,,,,
Microcystis_aeruginosa_DIANCHI905,F,403,F,3|s,1|5|7|K3L1M1N1O1,2|s,2|4|9|A2B3C2D2,0|3|2|D0F1Y1,1|3|6|D3F2X1,1|s,1|2|3|L2S1,,,,,,,,,,,,,,,,
