Table S23. Resistance of heavy metals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Strain,Habitat,BlmFreq,BlmType,czcABC,cnrABC,nccABC,czcD,zntA,zitB,cutCD,cusABCF,cueO,chrA,nreB,,,,,,,,,,,,,,,,,,
Anabaena_cylindrica_PCC_7122,F,64,F,0|3|4|A3B1C0,0|3|0|A0B0C0,0|3|0|A0B0C0,1|s,5|s,1|s,0|s,0|4|1|A1B0C0F0,0|s,1|s,1|s,,,,,,,,,,,,,,,,,,
Anabaena_sp._90,F,64,F,0|3|1|A1B0C0,0|3|0|A0B0C0,0|3|0|A0B0C0,2|s,2|s,0|s,0|s,0|4|0|A0B0C0F0,0|s,1|s,0|s,,,,,,,,,,,,,,,,,,
Anabaena_sp._PCC_7108,M,64,F,0|3|1|A1B0C0,0|3|0|A0B0C0,0|3|0|A0B0C0,1|s,4|s,0|s,0|s,0|4|1|A1B0C0F0,0|s,1|s,0|s,,,,,,,,,,,,,,,,,,
Anabaena_variabilis_ATCC_29413,F,64,F,0|3|1|A1B0C0,0|3|0|A0B0C0,0|3|1|A1B0C0,1|s,4|s,0|s,0|s,0|4|1|A1B0C0F0,1|s,1|s,1|s,,,,,,,,,,,,,,,,,,
Aphanizomenon_flos-aquae_2012/KM/D3,F,46,F,0|3|1|A1B0C0,0|3|0|A0B0C0,0|3|0|A0B0C0,1|s,1|s,1|s,0|s,0|4|0|A0B0C0F0,0|s,0|s,0|s,,,,,,,,,,,,,,,,,,
Aphanizomenon_flos-aquae_NIES-81,F,46,F,0|3|1|A1B0C0,0|3|0|A0B0C0,0|3|0|A0B0C0,1|s,2|s,1|s,0|s,0|4|0|A0B0C0F0,0|s,1|s,0|s,,,,,,,,,,,,,,,,,,
Arthrospira_platensis_C1,A,1,O,0|3|5|A4B1C0,0|3|0|A0B0C0,0|3|0|A0B0C0,2|s,2|s,1|s,0|s,0|4|0|A0B0C0F0,0|s,0|s,0|s,,,,,,,,,,,,,,,,,,
Calothrix_sp._PCC_6303,F,0,N,0|3|3|A2B1C0,0|3|0|A0B0C0,0|3|0|A0B0C0,2|s,2|s,0|s,0|s,0|4|1|A1B0C0F0,0|s,0|s,1|s,,,,,,,,,,,,,,,,,,
Calothrix_sp._PCC_7103,F,0,N,0|3|11|A9B2C0,0|3|0|A0B0C0,0|3|2|A2B0C0,2|s,7|s,2|s,0|s,0|4|0|A0B0C0F0,0|s,0|s,2|s,,,,,,,,,,,,,,,,,,
Calothrix_sp._PCC_7507,F,0,N,0|3|5|A4B1C0,0|3|0|A0B0C0,0|3|0|A0B0C0,1|s,3|s,0|s,0|s,0|4|1|A1B0C0F0,0|s,1|s,0|s,,,,,,,,,,,,,,,,,,
Chamaesiphon_minutus_PCC_6605,F,0,N,0|3|6|A6B0C0,0|3|0|A0B0C0,0|3|0|A0B0C0,3|s,10|s,4|s,0|s,0|4|1|A1B0C0F0,2|s,1|s,4|s,,,,,,,,,,,,,,,,,,
Crocosphaera_watsonii_WH_0003,M,0,N,0|3|2|A2B0C0,0|3|0|A0B0C0,0|3|0|A0B0C0,0|s,2|s,0|s,0|s,0|4|0|A0B0C0F0,0|s,1|s,0|s,,,,,,,,,,,,,,,,,,
Crocosphaera_watsonii_WH_0005,M,0,N,0|3|1|A1B0C0,0|3|0|A0B0C0,0|3|0|A0B0C0,0|s,0|s,0|s,0|s,0|4|0|A0B0C0F0,0|s,1|s,0|s,,,,,,,,,,,,,,,,,,
Crocosphaera_watsonii_WH_0401,M,0,N,0|3|0|A0B0C0,0|3|1|A1B0C0,0|3|0|A0B0C0,0|s,2|s,0|s,0|s,0|4|0|A0B0C0F0,0|s,1|s,0|s,,,,,,,,,,,,,,,,,,
Crocosphaera_watsonii_WH_0402,M,0,N,0|3|1|A1B0C0,0|3|1|A1B0C0,0|3|0|A0B0C0,0|s,1|s,0|s,0|s,0|4|0|A0B0C0F0,0|s,0|s,0|s,,,,,,,,,,,,,,,,,,
Crocosphaera_watsonii_WH_8501,M,0,N,0|3|1|A1B0C0,0|3|1|A1B0C0,0|3|0|A0B0C0,0|s,2|s,0|s,0|s,0|4|0|A0B0C0F0,0|s,1|s,0|s,,,,,,,,,,,,,,,,,,
Crocosphaera_watsonii_WH_8502,M,0,N,0|3|0|A0B0C0,0|3|0|A0B0C0,0|3|0|A0B0C0,0|s,1|s,0|s,0|s,0|4|0|A0B0C0F0,0|s,1|s,0|s,,,,,,,,,,,,,,,,,,
Cyanothece_sp._ATCC_51142,M,3,O,0|3|6|A5B1C0,0|3|0|A0B0C0,0|3|0|A0B0C0,1|s,3|s,1|s,0|s,0|4|1|A1B0C0F0,0|s,1|s,0|s,,,,,,,,,,,,,,,,,,
Cyanothece_sp._ATCC_51472,M,3,O,0|3|6|A5B1C0,0|3|0|A0B0C0,0|3|0|A0B0C0,1|s,3|s,1|s,0|s,0|4|1|A1B0C0F0,0|s,1|s,0|s,,,,,,,,,,,,,,,,,,
