Table S17. Sugar utilization.,,,,,,,,,,,,,
#Strain,Habitat,BlmFreq,BlmType,rfbAB,ehiEFG,aglEFGK,malKFGE,lamB,ybfM,ngcEFG,acs,nagA,nagB
Geminocystis_herdmanii_PCC_6308,F,0,N,2|2|6|A2B4,2|3|6|E2F2G2,0|4|0|E0F0G0K0,0|4|2|E0F0G0K2,0|s,0|s,0|3|0|E0F0G0,1|s,1|s,0|s
Halothece_sp._PCC_7418,F,0,N,1|2|4|A1B3,0|3|2|E0F1G1,0|4|2|E0F0G0K2,0|4|4|E2F1G1K0,0|s,0|s,0|3|0|E0F0G0,1|s,1|s,0|s
Leptolyngbya_boryana_PCC_6306,F,1,O,4|2|12|A4B8,3|3|10|E3F4G3,0|4|5|E0F0G0K5,1|4|8|E2F1G2K3,0|s,0|s,0|3|0|E0F0G0,8|s,1|s,0|s
Leptolyngbya_sp._2LT21S03,M,1,O,3|2|10|A3B7,2|3|8|E2F3G3,0|4|7|E0F0G1K6,1|4|9|E4F1G2K2,0|s,0|s,0|3|0|E0F0G0,3|s,1|s,1|s
Leptolyngbya_sp._PCC_6406,F,1,O,0|2|5|A0B5,2|3|6|E2F2G2,0|4|4|E0F0G0K4,1|4|5|E1F1G1K2,0|s,0|s,0|3|0|E0F0G0,2|s,1|s,0|s
Lyngbya_majuscula_3L,M,19,F,3|2|9|A3B6,1|3|4|E2F1G1,1|4|5|E1F1G1K2,1|4|4|E1F1G1K1,0|s,0|s,0|3|0|E0F0G0,7|s,1|s,0|s
Lyngbya_sp._PCC_8106,M,19,F,2|2|4|A2B2,1|3|4|E1F2G1,0|4|3|E1F0G0K2,1|4|7|E2F1G1K3,0|s,0|s,0|3|0|E0F0G0,1|s,1|s,0|s
Microcystis_aeruginosa_DIANCHI905,F,403,F,1|2|3|A1B2,0|3|0|E0F0G0,0|4|0|E0F0G0K0,0|4|2|E0F0G0K2,0|s,0|s,0|3|0|E0F0G0,1|s,1|s,0|s
Microcystis_aeruginosa_NIES-843,F,403,F,1|2|3|A1B2,0|3|0|E0F0G0,0|4|0|E0F0G0K0,0|4|2|E0F0G0K2,0|s,0|s,0|3|0|E0F0G0,1|s,1|s,0|s
Microcystis_aeruginosa_PCC_7941,F,403,F,1|2|3|A1B2,0|3|0|E0F0G0,0|4|0|E0F0G0K0,0|4|1|E0F0G0K1,0|s,0|s,0|3|0|E0F0G0,2|s,1|s,0|s
Microcystis_aeruginosa_PCC_9432,F,403,F,1|2|3|A1B2,0|3|0|E0F0G0,0|4|0|E0F0G0K0,0|4|1|E0F0G0K1,0|s,0|s,0|3|0|E0F0G0,2|s,1|s,0|s
Microcystis_aeruginosa_PCC_9443,F,403,F,1|2|3|A1B2,0|3|0|E0F0G0,0|4|0|E0F0G0K0,0|4|1|E0F0G0K1,0|s,0|s,0|3|0|E0F0G0,2|s,1|s,0|s
Microcystis_aeruginosa_PCC_9701,F,403,F,1|2|4|A1B3,0|3|0|E0F0G0,0|4|0|E0F0G0K0,0|4|1|E0F0G0K1,0|s,0|s,0|3|0|E0F0G0,1|s,1|s,0|s
Microcystis_aeruginosa_PCC_9717,F,403,F,1|2|3|A1B2,0|3|0|E0F0G0,0|4|0|E0F0G0K0,0|4|1|E0F0G0K1,0|s,0|s,0|3|0|E0F0G0,1|s,1|s,0|s
