Table S10. Photosystem I.,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Strain,Habitat,BlmFreq,BlmType,petA,petB,petC,petD,petG,petL,petM,petN,petE,petF,petH,petJ,psaA,psaB,psaC,psaD,psaE,psaF,psaI,psaJ,psaK,psaL,psaM,psaX
Anabaena_cylindrica_PCC_7122,F,64,F,1|s,2|s,3|s,1|s,1|s,0|s,1|s,1|s,1|s,2|s,1|s,4|s,1|s,1|s,1|s,1|s,1|s,1|s,0|s,1|s,1|s,2|s,1|s,1|s
Anabaena_sp._90,F,64,F,1|s,1|s,2|s,1|s,1|s,0|s,1|s,1|s,1|s,2|s,1|s,2|s,1|s,1|s,1|s,1|s,1|s,1|s,1|s,1|s,1|s,1|s,1|s,1|s
Anabaena_sp._PCC_7108,M,64,F,1|s,1|s,3|s,1|s,1|s,0|s,1|s,1|s,1|s,3|s,1|s,3|s,1|s,1|s,1|s,1|s,1|s,1|s,1|s,1|s,2|s,1|s,1|s,1|s
Anabaena_variabilis_ATCC_29413,F,64,F,1|s,2|s,1|s,1|s,1|s,1|s,1|s,1|s,1|s,3|s,1|s,3|s,2|s,1|s,1|s,1|s,1|s,1|s,1|s,1|s,3|s,1|s,1|s,1|s
Aphanizomenon_flos-aquae_2012/KM/D3,F,46,F,1|s,0|s,1|s,0|s,2|s,0|s,0|s,0|s,1|s,5|s,1|s,1|s,2|s,2|s,1|s,1|s,1|s,1|s,0|s,1|s,0|s,1|s,0|s,1|s
Aphanizomenon_flos-aquae_NIES-81,F,46,F,1|s,1|s,1|s,1|s,1|s,0|s,1|s,0|s,1|s,2|s,1|s,2|s,1|s,1|s,1|s,1|s,1|s,1|s,1|s,1|s,1|s,1|s,0|s,1|s
Arthrospira_platensis_C1,A,1,O,1|s,1|s,1|s,1|s,0|s,0|s,0|s,0|s,0|s,2|s,1|s,2|s,1|s,1|s,1|s,1|s,1|s,1|s,1|s,1|s,2|s,1|s,1|s,0|s
Calothrix_sp._PCC_6303,F,0,N,1|s,2|s,3|s,1|s,1|s,0|s,0|s,0|s,1|s,2|s,1|s,3|s,1|s,1|s,1|s,1|s,1|s,1|s,0|s,1|s,0|s,1|s,1|s,1|s
Calothrix_sp._PCC_7103,F,0,N,1|s,2|s,2|s,1|s,0|s,0|s,0|s,0|s,1|s,3|s,1|s,3|s,2|s,1|s,1|s,1|s,1|s,1|s,0|s,1|s,3|s,1|s,1|s,1|s
Calothrix_sp._PCC_7507,F,0,N,1|s,2|s,1|s,1|s,1|s,1|s,1|s,1|s,1|s,3|s,1|s,3|s,2|s,2|s,1|s,1|s,1|s,2|s,1|s,1|s,1|s,3|s,1|s,1|s
Chamaesiphon_minutus_PCC_6605,F,0,N,1|s,2|s,5|s,2|s,1|s,0|s,0|s,1|s,0|s,3|s,1|s,1|s,1|s,1|s,1|s,1|s,2|s,1|s,0|s,1|s,0|s,2|s,1|s,0|s
Crocosphaera_watsonii_WH_0003,M,0,N,1|s,1|s,1|s,1|s,1|s,0|s,0|s,1|s,1|s,4|s,1|s,3|s,2|s,0|s,1|s,1|s,1|s,1|s,0|s,1|s,0|s,1|s,0|s,0|s
Crocosphaera_watsonii_WH_0005,M,0,N,1|s,1|s,1|s,1|s,1|s,0|s,0|s,1|s,1|s,3|s,0|s,3|s,0|s,1|s,1|s,1|s,1|s,1|s,0|s,1|s,0|s,1|s,0|s,0|s
Crocosphaera_watsonii_WH_0401,M,0,N,1|s,1|s,1|s,1|s,1|s,0|s,0|s,1|s,1|s,4|s,1|s,3|s,2|s,0|s,1|s,1|s,1|s,1|s,0|s,1|s,0|s,1|s,0|s,0|s
Crocosphaera_watsonii_WH_0402,M,0,N,1|s,1|s,1|s,1|s,1|s,0|s,0|s,1|s,1|s,4|s,1|s,2|s,0|s,1|s,1|s,1|s,1|s,1|s,0|s,1|s,0|s,2|s,0|s,0|s
